% Altitude (m),CG location (cm),Mach number
0,458.23,0.005593
2.96E-04,458.23,0.0056327
0.0011856,458.23,0.0056777
0.0026679,458.23,0.0057278
0.0047435,458.23,0.0057831
0.0074124,458.23,0.0058433
0.010675,458.22,0.0059538
0.014531,458.22,0.0060684
0.018981,458.22,0.006187
0.024026,458.22,0.0063093
0.029665,458.22,0.0064351
0.035898,458.22,0.0064072
0.042726,458.21,0.006385
0.050148,458.21,0.0063685
0.058166,458.21,0.0063579
0.066779,458.21,0.0063532
0.075987,458.21,0.0064034
0.085791,458.21,0.006458
0.096191,458.2,0.0065171
0.10719,458.2,0.0065804
0.11878,458.2,0.0066478
0.13097,458.2,0.006784
0.14375,458.2,0.0069224
0.15713,458.2,0.0070628
0.17111,458.19,0.0072052
0.18568,458.19,0.0073493
0.20086,458.19,0.0074922
0.21663,458.19,0.0076368
0.23299,458.19,0.007783
0.24996,458.19,0.0079307
0.26752,458.18,0.0080798
0.28568,458.18,0.0082
0.30444,458.18,0.0083223
0.3238,458.18,0.0084465
0.34375,458.18,0.0085726
0.36431,458.18,0.0087004
0.38546,458.17,0.0088078
0.40722,458.17,0.0089176
0.42957,458.17,0.0090295
0.45252,458.17,0.0091436
0.47607,458.17,0.0092598
0.50023,458.17,0.0094136
0.52498,458.16,0.0095684
0.55033,458.16,0.0097241
0.57628,458.16,0.0098806
0.60284,458.16,0.010038
0.62999,458.16,0.010154
0.65775,458.16,0.010272
0.6861,458.15,0.010392
0.71506,458.15,0.010513
0.74462,458.15,0.010636
0.77478,458.15,0.010829
0.80555,458.15,0.011022
0.83691,458.15,0.011215
0.86888,458.14,0.011408
0.90145,458.14,0.011602
0.93462,458.14,0.011707
0.9684,458.14,0.011814
1.0028,458.14,0.011924
1.0378,458.13,0.012036
1.0734,458.13,0.01215
1.1095,458.13,0.012312
1.1463,458.13,0.012475
1.1837,458.13,0.012638
1.2217,458.13,0.012801
1.2603,458.12,0.012965
1.2996,458.12,0.013085
1.3394,458.12,0.013208
1.3798,458.12,0.013331
1.4208,458.12,0.013457
1.4625,458.12,0.013584
1.5047,458.11,0.013707
1.5475,458.11,0.013831
1.591,458.11,0.013958
1.635,458.11,0.014086
1.6797,458.11,0.014216
1.725,458.11,0.014388
1.7709,458.1,0.01456
1.8173,458.1,0.014733
1.8644,458.1,0.014905
1.9121,458.1,0.015078
1.9604,458.1,0.015247
2.0093,458.1,0.015416
2.0589,458.09,0.015585
2.109,458.09,0.015755
2.1597,458.09,0.015924
2.2111,458.09,0.016095
2.263,458.09,0.016266
2.3156,458.09,0.016437
2.3688,458.08,0.016609
2.4226,458.08,0.01678
2.477,458.08,0.01697
2.532,458.08,0.017159
2.5876,458.08,0.017349
2.6438,458.07,0.017539
2.7006,458.07,0.017728
2.7581,458.07,0.017875
